sentence,num_words,google_language,stopwords_language,book_name
"?The Project Gutenberg EBook of Candide, by Voltaire    This eBook is for the use of anyone anywhere in the United States and most  other parts of the world at no cost and with almost no restrictions  whatsoever.",42,{'en': 0.9999982403395421},"{'italian': 1, 'norwegian': 3, 'portuguese': 2, 'dutch': 3, 'danish': 2, 'hungarian': 1, 'english': 12, 'spanish': 1, 'german': 1}",candide
"You may copy it, give it away or re-use it under the terms of  the Project Gutenberg License included with this eBook or online at  www.",28,{'en': 0.9999963770092999},"{'dutch': 1, 'danish': 2, 'english': 9, 'norwegian': 1, 'swedish': 1}",candide
"If you are not located in the United States, you'll have  to check the laws of the country where you are located before using this ebook.",27,{'en': 0.9999980445906225},"{'italian': 1, 'danish': 1, 'english': 12, 'dutch': 2, 'german': 1}",candide
"Title: Candide    Author: Voltaire    Translator: L. Onerva    Release Date: June 15, 2016 [EBook #52336]    Language: Finnish      *** START OF THIS PROJECT GUTENBERG EBOOK CANDIDE ***          Produced by Juhani K?rkk?inen and Tapio Riikonen              CANDIDE    Eli    Avosyd?misen ja vilpitt?m?n nuoren miehen  ihmeelliset seikkailut      Kirj.",93,"{'en': 0.28571305449373213, 'et': 0.2857141243268466, 'fi': 0.42857075104786857}","{'norwegian': 1, 'finnish': 1, 'english': 2, 'dutch': 1}",candide
VOLTAIRE      Suom.,7,{'fi': 0.999996321639417},{},candide
"L. Onerva            Helsingiss?,  Kustannusosakeyhti? Kirja,  1914.",19,{'fi': 0.9999949669772306},{},candide
Oy Weilin & G??s kirjapainossa.,5,{'fi': 0.9999961571169289},{},candide
Vanhan asianajajan Francois Arouet'n molemmat pojat tekiv?t is?ns?  suunnitelmiin monta harmillista muutosta.,13,{'fi': 0.999996511677914},{'french': 1},candide
"Toisesta tuli vanhuksen  suureksi suruksi kirjailija, toisesta taas liiaksi porvarillisen  arkip?iv?isyyden mies.",14,{'fi': 0.9999985575368345},{},candide
"Kirjailija-pojasta tuli kuitenkin 18:nnen vuosisadan kuuluisimpia  miehi?, sill? h?n juuri oli Voltaire, oikealta nimelt??n Francois  Marie Arouet.",19,{'fi': 0.9999967458574146},{'finnish': 3},candide
Tullessaan t?h?n maailmaan marraskuun 21 p.,6,{'fi': 0.9999980019845802},{'finnish': 1},candide
"1694 oli h?n niin laiha,  pieni ja heikko, ettei h?nest? luultu tulevan el?j?? mink??nlaista.",15,{'fi': 0.9999958919562585},"{'norwegian': 1, 'finnish': 5, 'dutch': 1}",candide
"Mutta jo t?ss? sai h?n ensim?isen tilaisuuden saattaa profeetat  h?pe??n, sill? aivan kuin harmiksi heille j?ikin h?n el?m??n, pit?en  sitten uljaasti kuolemaa loitolla kokonaista 84 vuotta.",28,{'fi': 0.9999963974468119},"{'danish': 1, 'finnish': 5}",candide
"Voltaire halasi ylh?isten seuraa, ja kumminsa, apotti Chateauneuf'in  avulla p??sikin h?n hienoston seurapiiriin.",14,{'fi': 0.9999974331170425},"{'italian': 1, 'norwegian': 1, 'finnish': 2, 'english': 1, 'dutch': 2, 'german': 1}",candide
"Selv?n p??ns? ja  pelottavan ter?v?n kielens? avulla hankki h?n siell? itselleen  kaiken sen menestyksen, mink? aateliton ja ulkomuodoltaan vaatimaton  porvarinuorukainen silloisten Ranskan ylimysten keskuudessa hankkia  saattoi.",30,{'fi': 0.999999470077938},"{'norwegian': 1, 'finnish': 4, 'dutch': 1}",candide
Se ei ollut suinkaan helppoa.,5,{'fi': 0.9999972955304658},{'finnish': 2},candide
"Kun Voltaire ei voinut alistua  kumartelemaan er?st? ylh?ist? nuorta ylimyst?, annatti t?m? h?nelle  lakeijoillaan selk??n.",17,{'fi': 0.9999966680887986},{'finnish': 3},candide
"Kun h?n selk?saunan johdosta vaati ylimyksen  kaksintaisteluun, p??si h?n t?ten tekem?st??n ""h?v?istyksest?""  Bastiljiin.",15,{'fi': 0.9999985773336313},{'finnish': 1},candide
