sentence,num_words,google_language,stopwords_language,book_name
"?The Project Gutenberg EBook of Don Quixote, by Miguel de Cervantes    This eBook is for the use of anyone anywhere at no cost and with  almost no restrictions whatsoever.",33,{'en': 0.9999967227880668},"{'norwegian': 4, 'hungarian': 1, 'french': 1, 'portuguese': 3, 'dutch': 3, 'danish': 3, 'turkish': 1, 'english': 9, 'spanish': 2, 'swedish': 1}",don_quixote
"You may copy it, give it away or  re-use it under the terms of the Project Gutenberg License included  with this eBook or online at www.",28,{'en': 0.9999956411512584},"{'dutch': 1, 'danish': 2, 'english': 9, 'norwegian': 1, 'swedish': 1}",don_quixote
"gutenberg.net      Title: Don Quixote    Author: Miguel de Cervantes Saavedra    Release Date: July 27, 2004 [EBook #996]  Last Updated: March 4,2015    Language: English      *** START OF THIS PROJECT GUTENBERG EBOOK DON QUIXOTE ***          Produced by David Widger            DON QUIXOTE    Complete    by Miguel de Cervantes [Saavedra]    Translated by John Ormsby          CONTENTS    Volume I.    CHAPTER I  WHICH TREATS OF THE CHARACTER AND PURSUITS OF THE FAMOUS GENTLEMAN  DON QUIXOTE OF LA MANCHA    CHAPTER II  WHICH TREATS OF THE FIRST SALLY THE INGENIOUS DON QUIXOTE MADE  FROM HOME    CHAPTER III  WHEREIN IS RELATED THE DROLL WAY IN WHICH DON QUIXOTE HAD HIMSELF  DUBBED A KNIGHT    CHAPTER IV  OF WHAT HAPPENED TO OUR KNIGHT WHEN HE LEFT THE INN    CHAPTER V  IN WHICH THE NARRATIVE OF OUR KNIGHT'S MISHAP IS CONTINUED    CHAPTER VI  OF THE DIVERTING AND IMPORTANT SCRUTINY WHICH THE CURATE AND THE  BARBER MADE IN THE LIBRARY OF OUR INGENIOUS GENTLEMAN    CHAPTER VII  OF THE SECOND SALLY OF OUR WORTHY KNIGHT DON QUIXOTE OF LA MANCHA    CHAPTER VIII  OF THE GOOD FORTUNE WHICH THE VALIANT DON QUIXOTE HAD IN THE  TERRIBLE AND UNDREAMT-OF ADVENTURE OF THE WINDMILLS, WITH OTHER  OCCURRENCES WORTHY TO BE FITLY RECORDED    CHAPTER IX  IN WHICH IS CONCLUDED AND FINISHED THE TERRIFIC BATTLE BETWEEN THE  GALLANT BISCAYAN AND THE VALIANT MANCHEGAN    CHAPTER X  OF THE PLEASANT DISCOURSE THAT PASSED BETWEEN DON QUIXOTE AND HIS  SQUIRE SANCHO PANZA    CHAPTER XI  OF WHAT BEFELL DON QUIXOTE WITH CERTAIN GOATHERDS    CHAPTER XII  OF WHAT A GOATHERD RELATED TO THOSE WITH DON QUIXOTE    CHAPTER XIII  IN WHICH IS ENDED THE STORY OF THE SHEPHERDESS MARCELA, WITH OTHER  INCIDENTS    CHAPTER XIV  WHEREIN ARE INSERTED THE DESPAIRING VERSES OF THE DEAD SHEPHERD,  TOGETHER WITH OTHER INCIDENTS NOT LOOKED FOR    CHAPTER XV  IN WHICH IS RELATED THE UNFORTUNATE ADVENTURE THAT DON QUIXOTE  FELL IN WITH WHEN HE FELL OUT WITH CERTAIN HEARTLESS YANGUESANS    CHAPTER XVI  OF WHAT HAPPENED TO THE INGENIOUS GENTLEMAN IN THE INN WHICH HE  TOOK TO BE A CASTLE    CHAPTER XVII  IN WHICH ARE CONTAINED THE INNUMERABLE TROUBLES WHICH THE BRAVE  DON QUIXOTE AND HIS GOOD SQUIRE SANCHO PANZA ENDURED IN THE INN,  WHICH TO HIS MISFORTUNE HE TOOK TO BE A CASTLE    CHAPTER XVIII  IN WHICH IS RELATED THE DISCOURSE SANCHO PANZA HELD WITH HIS MASTER,  DON QUIXOTE, AND OTHER ADVENTURES WORTH RELATING    CHAPTER XIX  OF THE SHREWD DISCOURSE WHICH SANCHO HELD WITH HIS MASTER, AND OF  THE ADVENTURE THAT BEFELL HIM WITH A DEAD BODY, TOGETHER WITH OTHER  NOTABLE OCCURRENCES    CHAPTER XX  OF THE UNEXAMPLED AND UNHEARD-OF ADVENTURE WHICH WAS ACHIEVED BY THE  VALIANT DON QUIXOTE OF LA MANCHA WITH LESS PERIL THAN ANY EVER  ACHIEVED BY ANY FAMOUS KNIGHT IN THE WORLD    CHAPTER XXI  WHICH TREATS OF THE EXALTED ADVENTURE AND RICH PRIZE OF MAMBRINO'S  HELMET, TOGETHER WITH OTHER THINGS THAT HAPPENED TO OUR INVINCIBLE  KNIGHT    CHAPTER XXII  OF THE FREEDOM DON QUIXOTE CONFERRED ON SEVERAL UNFORTUNATES WHO  AGAINST THEIR WILL WERE BEING CARRIED WHERE THEY HAD NO WISH TO GO    CHAPTER XXIII  OF WHAT BEFELL DON QUIXOTE IN THE SIERRA MORENA, WHICH WAS ONE OF  THE RAREST ADVENTURES RELATED IN THIS VERACIOUS HISTORY    CHAPTER XXIV  IN WHICH IS CONTINUED THE ADVENTURE OF THE SIERRA MORENA    CHAPTER XXV  WHICH TREATS OF THE STRANGE THINGS THAT HAPPENED TO THE STOUT  KNIGHT OF LA MANCHA IN THE SIERRA MORENA, AND OF HIS IMITATION  OF THE PENANCE OF BELTENEBROS    CHAPTER XXVI  IN WHICH ARE CONTINUED THE REFINEMENTS WHEREWITH DON QUIXOTE  PLAYED THE PART OF A LOVER IN THE SIERRA MORENA    CHAPTER XXVII  OF HOW THE CURATE AND THE BARBER PROCEEDED WITH THEIR SCHEME;  TOGETHER WITH OTHER MATTERS WORTHY OF RECORD IN THIS GREAT HISTORY    CHAPTER XXVIII  WHICH TREATS OF THE STRANGE AND DELIGHTFUL ADVENTURE THAT BEFELL  THE CURATE AND THE BARBER IN THE SAME SIERRA    CHAPTER XXIX  WHICH TREATS OF THE DROLL DEVICE AND METHOD ADOPTED TO EXTRICATE  OUR LOVE-STRICKEN KNIGHT FROM THE SEVERE PENANCE HE HAD IMPOSED  UPON HIMSELF    CHAPTER XXX  WHICH TREATS OF ADDRESS DISPLAYED BY THE FAIR DOROTHEA, WITH OTHER  MATTERS PLEASANT AND AMUSING    CHAPTER XXXI  OF THE DELECTABLE DISCUSSION BETWEEN DON QUIXOTE AND SANCHO PANZA,  HIS SQUIRE, TOGETHER WITH OTHER INCIDENTS    CHAPTER XXXII  WHICH TREATS OF WHAT BEFELL DON QUIXOTE'S PARTY AT THE INN    CHAPTER XXXIII  IN WHICH IS RELATED THE NOVEL OF ""THE ILL-ADVISED CURIOSITY""    CHAPTER XXXIV  IN WHICH IS CONTINUED THE NOVEL OF ""THE ILL-ADVISED CURIOSITY""    CHAPTER XXXV  WHICH TREATS OF THE HEROIC AND PRODIGIOUS BATTLE DON QUIXOTE HAD  WITH CERTAIN SKINS OF RED WINE, AND BRINGS THE NOVEL OF ""THE  ILL-ADVISED CURIOSITY"" TO A CLOSE    CHAPTER XXXVI  WHICH TREATS OF MORE CURIOUS INCIDENTS THAT OCCURRED AT THE INN    CHAPTER XXXVII  IN WHICH IS CONTINUED THE STORY OF THE FAMOUS PRINCESS MICOMICONA,  WITH OTHER DROLL ADVENTURES    CHAPTER XXXVIII  WHICH TREATS OF THE CURIOUS DISCOURSE DON QUIXOTE DELIVERED ON  ARMS AND LETTERS    CHAPTER XXXIX  WHEREIN THE CAPTIVE RELATES HIS LIFE AND ADVENTURES    CHAPTER XL  IN WHICH THE STORY OF THE CAPTIVE IS CONTINUED.",1071,{'en': 0.9999960696334302},"{'norwegian': 1, 'hungarian': 1, 'french': 1, 'portuguese': 1, 'dutch': 1, 'danish': 1, 'turkish': 1, 'english': 1, 'spanish': 1, 'swedish': 1}",don_quixote
"CHAPTER XLI  IN WHICH THE CAPTIVE STILL CONTINUES HIS ADVENTURES    CHAPTER XLII  WHICH TREATS OF WHAT FURTHER TOOK PLACE IN THE INN, AND OF  SEVERAL OTHER THINGS WORTH KNOWING    CHAPTER XLIII  WHEREIN IS RELATED THE PLEASANT STORY OF THE MULETEER, TOGETHER  WITH OTHER STRANGE THINGS THAT CAME TO PASS IN THE INN    CHAPTER XLIV  IN WHICH ARE CONTINUED THE UNHEARD-OF ADVENTURES OF THE INN    CHAPTER XLV  IN WHICH THE DOUBTFUL QUESTION OF MAMBRINO'S HELMET AND THE  PACK-SADDLE IS FINALLY SETTLED, WITH OTHER ADVENTURES THAT  OCCURRED IN TRUTH AND EARNEST    CHAPTER XLVI  OF THE END OF THE NOTABLE ADVENTURE OF THE OFFICERS OF THE HOLY  BROTHERHOOD; AND OF THE GREAT FEROCITY OF OUR WORTHY KNIGHT, DON  QUIXOTE    CHAPTER XLVII  OF THE STRANGE MANNER IN WHICH DON QUIXOTE OF LA MANCHA WAS  CARRIED AWAY ENCHANTED, TOGETHER WITH OTHER REMARKABLE INCIDENTS    CHAPTER XLVIII  IN WHICH THE CANON PURSUES THE SUBJECT OF THE BOOKS OF CHIVALRY,  WITH OTHER MATTERS WORTHY OF HIS WIT    CHAPTER XLIX  WHICH TREATS OF THE SHREWD CONVERSATION WHICH SANCHO PANZA HELD  WITH HIS MASTER DON QUIXOTE    CHAPTER L  OF THE SHREWD CONTROVERSY WHICH DON QUIXOTE AND THE CANON HELD,  TOGETHER WITH OTHER INCIDENTS    CHAPTER LI  WHICH DEALS WITH WHAT THE GOATHERD TOLD THOSE WHO WERE CARRYING  OFF DON QUIXOTE    CHAPTER LII  OF THE QUARREL THAT DON QUIXOTE HAD WITH THE GOATHERD, TOGETHER  WITH THE RARE ADVENTURE OF THE PENITENTS, WHICH WITH AN  EXPENDITURE OF SWEAT HE BROUGHT TO A HAPPY CONCLUSION      TRANSLATOR'S PREFACE      I: ABOUT THIS TRANSLATION    It was with considerable reluctance that I abandoned in favour of the  present undertaking what had long been a favourite project: that of a new  edition of Shelton's ""Don Quixote,"" which has now become a somewhat  scarce book.",359,{'en': 0.9999963295618376},"{'italian': 2, 'spanish': 2, 'french': 1, 'portuguese': 1, 'hungarian': 2, 'english': 14, 'dutch': 4, 'german': 2}",don_quixote
"There are some--and I confess myself to be one--for whom  Shelton's racy old version, with all its defects, has a charm that no  modern translation, however skilful or correct, could possess.",33,{'en': 0.9999970598045732},"{'italian': 2, 'norwegian': 2, 'french': 1, 'portuguese': 3, 'danish': 1, 'hungarian': 3, 'english': 17, 'spanish': 3}",don_quixote
"Shelton  had the inestimable advantage of belonging to the same generation as  Cervantes; ""Don Quixote"" had to him a vitality that only a contemporary  could feel; it cost him no dramatic effort to see things as Cervantes saw  them; there is no anachronism in his language; he put the Spanish of  Cervantes into the English of Shakespeare.",62,{'en': 0.9999973094075589},"{'italian': 2, 'spanish': 3, 'french': 1, 'portuguese': 3, 'dutch': 4, 'finnish': 1, 'hungarian': 1, 'english': 19, 'norwegian': 1, 'german': 1}",don_quixote
"Shakespeare himself most  likely knew the book; he may have carried it home with him in his  saddle-bags to Stratford on one of his last journeys, and under the  mulberry tree at New Place joined hands with a kindred genius in its  pages.",47,{'en': 0.9999950506103166},"{'spanish': 2, 'portuguese': 1, 'danish': 3, 'dutch': 2, 'german': 1, 'italian': 2, 'norwegian': 1, 'finnish': 2, 'french': 1, 'hungarian': 2, 'english': 18, 'swedish': 1}",don_quixote
But it was soon made plain to me that to hope for even a moderate  popularity for Shelton was vain.,21,{'en': 0.9999971241510397},"{'italian': 1, 'norwegian': 2, 'finnish': 1, 'french': 1, 'portuguese': 3, 'dutch': 2, 'danish': 1, 'hungarian': 1, 'english': 7, 'spanish': 2, 'german': 1}",don_quixote
"His fine old crusted English would, no  doubt, be relished by a minority, but it would be only by a minority.",22,{'en': 0.9999971017824266},"{'italian': 1, 'spanish': 2, 'portuguese': 2, 'hungarian': 2, 'english': 7, 'norwegian': 1}",don_quixote
His  warmest admirers must admit that he is not a satisfactory representative  of Cervantes.,16,{'en': 0.999996770119149},"{'italian': 1, 'spanish': 2, 'portuguese': 1, 'finnish': 1, 'hungarian': 1, 'english': 6, 'dutch': 2}",don_quixote
