sentence,num_words,google_language,stopwords_language,book_name
"?Project Gutenberg Etext of Hamlet by Shakespeare  PG has multiple editions of William Shakespeare's Complete Works      Copyright laws are changing all over the world, be sure to check  the copyright laws for your country before posting these files!",45,{'en': 0.9999975768582671},"{'italian': 1, 'norwegian': 2, 'french': 1, 'portuguese': 1, 'dutch': 2, 'danish': 2, 'hungarian': 2, 'english': 14, 'spanish': 1}",hamlet
Please take a look at the important information in this header.,11,{'en': 0.9999962629222903},"{'italian': 2, 'norwegian': 1, 'portuguese': 1, 'dutch': 1, 'danish': 1, 'hungarian': 1, 'english': 5, 'spanish': 1, 'german': 1}",hamlet
"We encourage you to keep this file on your own disk, keeping an  electronic path open for the next readers.",21,{'en': 0.9999971657950242},"{'norwegian': 1, 'french': 1, 'portuguese': 1, 'danish': 1, 'english': 9, 'finnish': 1, 'german': 1}",hamlet
Do not remove this.,4,{'en': 0.9999955531326383},{'english': 2},hamlet
"**Welcome To The World of Free Plain Vanilla Electronic Texts**    **Etexts Readable By Both Humans and By Computers, Since 1971**    *These Etexts Prepared By Hundreds of Volunteers and Donations*    Information on contacting Project Gutenberg to get Etexts, and  further information is included below.",53,{'en': 0.9999966795238114},"{'dutch': 2, 'finnish': 1, 'english': 7, 'french': 1}",hamlet
We need your donations.,4,{'en': 0.9999946131905433},{'english': 1},hamlet
"Hamlet, Prince of Denmark    by William Shakespeare [Collins edition]    November, 1998 [Etext #1524]  Most recently updated: January 26, 2009      Project Gutenberg Etext of Hamlet by Shakespeare  ******This file should be named 1524.",45,{'en': 0.9999958329992464},"{'dutch': 1, 'hungarian': 1, 'english': 4}",hamlet
txt or 1524.,3,{'en': 0.9999952217765549},{'english': 1},hamlet
zip******    This etext was prepared by Dianne Bean.,11,{'en': 0.9999989872472111},"{'dutch': 1, 'english': 2, 'german': 1}",hamlet
"Project Gutenberg Etexts are usually created from multiple editions,  all of which are in the Public Domain in the United States, unless a  copyright notice is included.",29,{'en': 0.999997805287308},"{'italian': 3, 'spanish': 1, 'portuguese': 1, 'hungarian': 1, 'english': 9, 'dutch': 3, 'german': 1}",hamlet
"Therefore, we usually do NOT!",5,{'en': 0.9999984422657228},"{'english': 2, 'portuguese': 1}",hamlet
keep  these books in compliance with any particular paper edition.,11,{'en': 0.9999954535964757},"{'italian': 1, 'dutch': 1, 'english': 4, 'german': 1}",hamlet
"We are now trying to release all our books one month in advance  of the official release dates, leaving time for better editing.",24,{'en': 0.999995969906242},"{'italian': 2, 'norwegian': 1, 'portuguese': 1, 'danish': 1, 'english': 9, 'dutch': 2, 'german': 1}",hamlet
Please note:  neither this list nor its contents are final till  midnight of the last day of the month of any such announcement.,25,{'en': 0.9999971521858042},"{'dutch': 1, 'english': 8, 'swedish': 1}",hamlet
"The official release date of all Project Gutenberg Etexts is at  Midnight, Central Time, of the last day of the stated month.",23,{'en': 0.9999965104117389},"{'dutch': 2, 'italian': 1, 'danish': 1, 'english': 5, 'norwegian': 1}",hamlet
