sentence,num_words,google_language,stopwords_language,book_name
"?      The Project Gutenberg EBook of Moby Dick; or The Whale, by Herman  Melville    This eBook is for the use of anyone anywhere at no cost and with almost  no restrictions whatsoever.",42,{'en': 0.9999967083766858},"{'norwegian': 3, 'portuguese': 2, 'dutch': 2, 'danish': 2, 'english': 10, 'spanish': 1}",moby_dick
"You may copy it, give it away or re-use  it under the terms of the Project Gutenberg License included with this  eBook or online at www.",28,{'en': 0.9999968099496834},"{'dutch': 1, 'danish': 2, 'english': 9, 'norwegian': 1, 'swedish': 1}",moby_dick
"gutenberg.org      Title: Moby Dick; or The Whale    Author: Herman Melville    Release Date: December 25, 2008 [EBook #2701]    Last Updated: October 24, 2016    Language: English    Character set encoding: UTF-8    *** START OF THIS PROJECT GUTENBERG EBOOK MOBY DICK; OR THE WHALE ***          Produced by Daniel Lazarus, Jonesey, and David Widger                  MOBY DICK;      or, THE WHALE.",108,{'en': 0.9999960207222112},{'english': 3},moby_dick
By Herman Melville                CONTENTS          ETYMOLOGY.,29,"{'en': 0.14285720277430314, 'da': 0.8571402523315834}",{},moby_dick
EXTRACTS (Supplied by a Sub-Sub-Librarian).,5,{'en': 0.9999969557735102},"{'italian': 1, 'spanish': 1, 'hungarian': 1, 'english': 2, 'portuguese': 1}",moby_dick
CHAPTER 1.,2,{'en': 0.9999948484951389},{},moby_dick
CHAPTER 2.,2,{'en': 0.9999942160742001},{},moby_dick
The Carpet-Bag.,2,{'en': 0.9999951815283077},{},moby_dick
CHAPTER 3.,2,{'en': 0.9999936134926127},{},moby_dick
The Spouter-Inn.,2,{'en': 0.9999973761784017},{},moby_dick
CHAPTER 4.,2,{'en': 0.9999948161951303},{},moby_dick
The Counterpane.,2,{'en': 0.9999976248625162},{},moby_dick
CHAPTER 5.,2,{'en': 0.999994106545665},{},moby_dick
CHAPTER 6.,2,{'en': 0.999994609793035},{},moby_dick
The Street.,2,{'en': 0.9999970048917406},{},moby_dick
CHAPTER 7.,2,{'en': 0.9999939948890029},{},moby_dick
The Chapel.,2,{'en': 0.9999967662970984},{},moby_dick
CHAPTER 8.,2,{'en': 0.9999947134236797},{},moby_dick
The Pulpit.,2,{'en': 0.9999981636376033},{},moby_dick
CHAPTER 9.,2,{'en': 0.9999946207013354},{},moby_dick
The Sermon.,2,{'en': 0.9999961439171623},{},moby_dick
CHAPTER 10.,2,{'en': 0.9999952581395086},{},moby_dick
A Bosom Friend.,3,"{'pt': 0.14285615321989206, 'sv': 0.5714252053779807, 'de': 0.26824360412227677}",{},moby_dick
CHAPTER 11.,2,{'en': 0.9999928870961904},{},moby_dick
CHAPTER 12.,2,{'en': 0.9999935301683505},{},moby_dick
CHAPTER 13.,2,{'en': 0.9999946332048084},{},moby_dick
CHAPTER 14.,2,{'en': 0.9999951287666085},{},moby_dick
CHAPTER 15.,2,{'en': 0.9999934572281081},{},moby_dick
CHAPTER 16.,2,{'en': 0.9999944256782202},{},moby_dick
The Ship.,2,{'en': 0.9999949604786746},{},moby_dick
CHAPTER 17.,2,{'en': 0.9999960715581075},{},moby_dick
The Ramadan.,2,"{'en': 0.42857133154443117, 'id': 0.5714284064506661}",{},moby_dick
CHAPTER 18.,2,{'en': 0.999997082253333},{},moby_dick
His Mark.,2,{'en': 0.9999934781365266},{},moby_dick
CHAPTER 19.,2,{'en': 0.9999951294851736},{},moby_dick
The Prophet.,2,{'en': 0.9999978128840614},{},moby_dick
CHAPTER 20.,2,{'en': 0.9999954769456246},{},moby_dick
All Astir.,2,{'tr': 0.99999581017836},{},moby_dick
CHAPTER 21.,2,{'en': 0.9999933125076076},{},moby_dick
Going Aboard.,2,"{'en': 0.28571580417150877, 'tl': 0.7142829179899907}",{},moby_dick
CHAPTER 22.,2,{'en': 0.9999948934835245},{},moby_dick
Merry Christmas.,2,{'en': 0.9999955688713331},{},moby_dick
CHAPTER 23.,2,{'en': 0.9999939918198282},{},moby_dick
The Lee Shore.,3,{'en': 0.9999956541407586},{},moby_dick
CHAPTER 24.,2,{'en': 0.9999948297919247},{},moby_dick
The Advocate.,2,{'en': 0.9999968757000767},{},moby_dick
CHAPTER 25.,2,{'en': 0.9999920386133792},{},moby_dick
CHAPTER 26.,2,{'en': 0.9999952168142321},{},moby_dick
Knights and Squires.,3,"{'en': 0.8571397197492143, 'fr': 0.14285785082881527}",{'english': 1},moby_dick
CHAPTER 27.,2,{'en': 0.999993262926899},{},moby_dick
Knights and Squires.,3,{'en': 0.9999966029691245},{'english': 1},moby_dick
CHAPTER 28.,2,{'en': 0.9999941883070973},{},moby_dick
CHAPTER 29.,2,{'en': 0.9999947577654542},{},moby_dick
"Enter Ahab; to Him, Stubb.",5,"{'en': 0.28571417091708406, 'de': 0.714284002389197}",{'english': 1},moby_dick
CHAPTER 30.,2,{'en': 0.9999964783433046},{},moby_dick
The Pipe.,2,{'en': 0.9999958032774566},{},moby_dick
CHAPTER 31.,2,{'en': 0.9999941834685978},{},moby_dick
Queen Mab.,2,"{'nl': 0.14285718774836892, 'ca': 0.14285722611400534, 'so': 0.7142844738826064}",{},moby_dick
CHAPTER 32.,2,{'en': 0.9999942782791096},{},moby_dick
CHAPTER 33.,2,{'en': 0.9999945996286911},{},moby_dick
The Specksnyder.,2,"{'en': 0.8571393976202062, 'sv': 0.14285749327094982}",{},moby_dick
CHAPTER 34.,2,{'en': 0.9999935881236266},{},moby_dick
The Cabin-Table.,2,{'en': 0.9999946774748855},{},moby_dick
CHAPTER 35.,2,{'en': 0.9999948689988841},{},moby_dick
The Mast-Head.,2,{'en': 0.9999962988306633},{},moby_dick
CHAPTER 36.,2,{'en': 0.9999963955566373},{},moby_dick
The Quarter-Deck.,2,"{'en': 0.7142830575673824, 'de': 0.2857168396308547}",{},moby_dick
CHAPTER 37.,2,{'en': 0.999993308799942},{},moby_dick
CHAPTER 38.,2,{'en': 0.9999952766090443},{},moby_dick
CHAPTER 39.,2,{'en': 0.9999954748291164},{},moby_dick
First Night Watch.,3,{'en': 0.9999972141691283},{},moby_dick
CHAPTER 40.,2,{'en': 0.9999934753692221},{},moby_dick
"Midnight, Forecastle.",2,{'en': 0.9999974221161526},{},moby_dick
CHAPTER 41.,2,{'en': 0.9999949463901894},{},moby_dick
Moby Dick.,2,"{'en': 0.42857096540560724, 'cs': 0.5714257992778922}",{},moby_dick
CHAPTER 42.,2,{'en': 0.9999934355670919},{},moby_dick
The Whiteness of The Whale.,5,{'en': 0.9999973242683643},"{'dutch': 1, 'english': 1}",moby_dick
CHAPTER 43.,2,{'en': 0.9999944702868375},{},moby_dick
CHAPTER 44.,2,{'en': 0.9999944868249907},{},moby_dick
The Chart.,2,{'en': 0.9999971987132046},{},moby_dick
CHAPTER 45.,2,{'en': 0.9999941194442447},{},moby_dick
The Affidavit.,2,{'en': 0.9999983625208073},{},moby_dick
CHAPTER 46.,2,{'en': 0.9999936516096295},{},moby_dick
CHAPTER 47.,2,{'en': 0.9999932237870521},{},moby_dick
The Mat-Maker.,2,{'en': 0.9999963653344388},{},moby_dick
CHAPTER 48.,2,{'en': 0.9999937176948027},{},moby_dick
The First Lowering.,3,{'en': 0.9999972483393367},{},moby_dick
CHAPTER 49.,2,{'en': 0.999993616515116},{},moby_dick
The Hyena.,2,{'en': 0.999996626193842},{},moby_dick
CHAPTER 50.,2,{'en': 0.9999955081105016},{},moby_dick
Ahab?s Boat and Crew.,4,{'en': 0.9999960908215285},"{'hungarian': 1, 'english': 2, 'french': 1}",moby_dick
CHAPTER 51.,2,{'en': 0.9999946805090117},{},moby_dick
The Spirit-Spout.,2,{'en': 0.9999964957165743},{},moby_dick
CHAPTER 52.,2,{'en': 0.999995173863204},{},moby_dick
The Albatross.,2,{'en': 0.9999977618610927},{},moby_dick
CHAPTER 53.,2,{'en': 0.9999949346374208},{},moby_dick
The Gam.,2,{'en': 0.9999964731625994},{},moby_dick
CHAPTER 54.,2,{'en': 0.9999947945875444},{},moby_dick
The Town-Ho?s Story.,3,{'en': 0.9999986901935738},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
CHAPTER 55.,2,{'en': 0.9999937818942497},{},moby_dick
Of the Monstrous Pictures of Whales.,6,{'en': 0.9999972774291273},"{'dutch': 1, 'english': 2}",moby_dick
CHAPTER 56.,2,{'en': 0.9999962062380588},{},moby_dick
"Of the Less Erroneous Pictures of Whales, and the True Pictures of Whaling Scenes.",14,{'en': 0.9999982698164886},"{'dutch': 1, 'english': 3}",moby_dick
CHAPTER 57.,2,{'en': 0.999993895016376},{},moby_dick
Of Whales in Paint; in Teeth; in Wood; in Sheet-Iron; in Stone; in Mountains; in Stars.,16,{'en': 0.9999949971221012},"{'italian': 1, 'dutch': 1, 'english': 1, 'german': 1}",moby_dick
CHAPTER 58.,2,{'en': 0.9999950920459203},{},moby_dick
CHAPTER 59.,2,{'en': 0.9999958605239084},{},moby_dick
CHAPTER 60.,2,{'en': 0.9999938221253387},{},moby_dick
The Line.,2,{'en': 0.9999970532276506},{},moby_dick
CHAPTER 61.,2,{'en': 0.999994463645481},{},moby_dick
Stubb Kills a Whale.,4,{'en': 0.9999961924995754},"{'italian': 1, 'spanish': 1, 'hungarian': 1, 'english': 1, 'portuguese': 1}",moby_dick
CHAPTER 62.,2,{'en': 0.9999950058578027},{},moby_dick
The Dart.,2,{'en': 0.9999951072393735},{},moby_dick
CHAPTER 63.,2,{'en': 0.999994000121591},{},moby_dick
The Crotch.,2,{'en': 0.9999964586018089},{},moby_dick
CHAPTER 64.,2,{'en': 0.9999947814000231},{},moby_dick
Stubb?s Supper.,2,{'sv': 0.9999937258991474},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
